Q,A
党的基层委员会、总支部委员会、支部委员会每届任期（）。,3年至5年
十九大党章将党的总支部委员会、支部委员会每届任期调整为（）。,3年至5年
基层委员会、总支部委员会、支部委员会的书记、副书记选举产生后，应报（）批准。,上级党组织
()是党在社会基层组织中的战斗堡垒，是党的全部工作和战斗力的基础。,党的基层组织
党的基层组织有（）基本任务。,8项
党的基层组织要对党员进行教育、管理、监督和服务，提高党员素质，（），增强党性。,坚定理想信念
党的基层组织要密切联系群众，经常了解群众对党员、党的工作的批评和意见，维护群众的（），做好群众的思想政治工作。,正当权利和利益
党的基层组织要监督党员干部和其他任何工作人员严格遵守（），严格遵守国家的财政经济法规和人事制度，不得侵占国家、集体和群众的利益。,国家法律法规
街道、乡、镇党的基层委员会，()本地区的工作和基层社会（），支持和保证行政组织、经济组织和群众自治组织充分行使职权。,领导，治理
国有企业党委（党组）发挥（）作用，把方向、管大局、保落实，依照规定讨论和决定企业重大事项。,领导
非公有制经济组织中党的基层组织，贯彻党的方针政策，（）企业遵守国家的法律法规，领导工会、共青团等群团组织，团结凝聚职工群众。,引导和监督
社会组织中党的基层组织，宣传和执行党的路线、方针、政策，（）工会、共青团等群团组织，教育管理党员，引领服务群众，推动事业发展。,领导
实行行政领导人负责制的事业单位中党的基层组织，发挥（）作用。,战斗堡垒
实行党委领导下的行政领导人负责制的事业单位中党的基层组织，对重大问题进行讨论和（），同时保证行政领导人充分行使自己的职权。,作出决定
各级党和国家机关中党的基层组织，协助行政负责人完成任务，对包括行政负责人在内的每个党员进行（），不领导本单位的业务工作。,教育、管理、监督
()是党的基础组织，担负直接教育党员、管理党员、监督党员和组织群众、宣传群众、凝聚群众、服务群众的职责。,党支部
党的干部是党的事业的骨干，是人民的公仆，要做到（）。,忠诚干净担当
党按照（）的原则选拔干部。,德才兼备、以德为先
党选拔干部坚持（）、任人唯贤。,五湖四海
党的十九大党章修正案增写了选拔干部要坚持()、公道正派的内容。,事业为上
党选拔干部，努力实现干部队伍的革命化、（）、知识化、专业化。,年轻化
党的各级领导干部必须具备的基本条件有（）项。,6
党的干部要努力用马克思主义的立场、观点、方法分析和解决实际问题，坚持讲学习、（）、讲正气，经得起各种风浪的考验。,讲政治
党章要求，各级领导干部要树立正确政绩观，做出经得起（）检验的实绩。,实践、人民、历史
党的各级领导干部要坚持解放思想，实事求是，与时倶进，开拓创新，（）。,认真调查研究
各级领导干部要正确行使人民赋予的权力，（），依法办事，清正廉洁，勤政为民，以身作则，艰苦朴素。,坚持原则
党章要求各级领导干部要加强道德修养，讲党性、()、作表率，做到自重、自省、自警、自励。,重品行
反对“四风”是指反对形式主义、官僚主义、享乐主义和（）,奢靡之风
党的各级组织要善于发现和推荐有真才实学的党外干部担任（）工作，保证他们有职有权，充分发挥他们的作用。,领导
党的各级领导干部必须信念坚定、为民服务、勤政务实、（）、清正廉洁。,敢于担当
党章规定，年龄和健康状况不适宜于继续担任工作的干部，应当按照国家的规定（）。,退、离休
()是维护党的团结统一、完成党的任务的保证。,党的纪律
坚持惩前毖后、治病救人，执纪必严、（），抓早抓小、防微杜渐，按照错误性质和情节轻重，给以批评教育直至纪律处分。,违纪必究
对于严重违纪、严重触犯刑律的党员，必须给予()的纪律处分。,开除党籍
对党员的纪律处分有：警告、严重警告、（）、留党察看、开除党籍。,撤销党内职务
党纪处分中，警告、严重警告属于（）。,轻处分
留党察看的期限最长不超过（）。,2年
下列表述中，正确的是（）。,党员在留党察看期间没有表决权、选举权和被选举权
党员经过留党察看，确已改正错误的，应当恢复其党员的权利；坚持错误不改的，应当（）。,开除党籍
党内的最高处分是（）。,开除党籍
各级党组织在决定或批准开除党员党籍的时候，应当全面研究有关的材料和意见，采取（）的态度。,十分慎重
对党员的纪律处分，必须经过（）讨论决定，报党的基层委员会批准。,支部大会
对党员的纪律处分，如果涉及的问题比较重要或复杂，或给党员以开除党籍的处分，应分别不同情况，报（）党的纪律检查委员会审查批准。,县级或县级以上
"在特殊情况下,（）各级党的委员会和纪律检查委员会有权直接决定给党员以纪律处分。",县级和县级以上
对党的中央委员会委员、候补委员，给以警告、严重警告处分，由（）审议后，报党中央批准。,中央纪律检查委员会常务委员会
对地方各级党的委员会委员、候补委员，给以警告、严重警告处分，应由上一级纪律检查委员会批准，并报它的同级党的委员会（）。,备案
给以撤销党内职务、留党察看或开除党籍的处分，必须由本人所在的委员会全体会议（）以上的多数决定。, 2/3
对地方各级委员会委员和候补委员给以撤销党内职务、留党察看或开除党籍的处分，必须经（）审议，由这一级纪委报同级党委批准。,上级纪律检查委员会常务委员会
严重触犯刑律的中央委员会委员、候补委员，由()决定开除其党籍。,中央政治局
严重触犯刑律的地方各级委员会委员、候补委员，由（）决定开除其党籍。,同级委员会常务委员会
党组织对党员作出处分决定，应当实事求是地查清事实。处分决定所依据的事实材料和处分决定必须（）。,同本人见面，听取本人说明情况和申辩
如果党员本人对党组织作出的处分决定不服，可以()，有关党组织必须负责处理或者迅速转递，不得扣压。,提出申诉
党组织如果在维护党的纪律方面失职，必须（）。,问责
党的中央纪律检查委员会在（）领导下进行工作。,党的中央委员会
党的地方各级纪律检查委员会和基层纪律检查委员会在同级党的委员会和上级纪律检查委员会（）下进行工作。,双重领导
十九大党章增加了上级党的纪律检查委员会加强对下级纪律检查委员会的（）的内容。,领导
党的各级纪律检查委员会每届任期和同级党的委员会（）。,相同
党的中央纪律检查委员会常务委员会和书记、副书记，由（）选举产生，并报党的中央委员会批准。,党的中央纪律检查委员会全体会议
党的地方各级纪律检查委员会全体会议，选举常务委员会和书记、副书记，并由（）通过，报上级党的委员会批准。,同级党的委员会
党的基层委员会是设立纪律检查委员会，还是设立纪律检查委员，由它的（）根据具体情况决定。,上一级党组织
党的总支部委员会和支部委员会设（）。,纪律检查委员
党的中央和地方纪律检查委员会向（）党和国家机关全面派驻党的纪律检查组。纪律检查组组长（）驻在部门党的领导组织的有关会议。,同级，参加
各级纪委的主要任务：维护党章和其他党内法规，检查党的路线、方针、政策和决议的执行情况，协助党的委员会推进全面从严治党、加强党风建设和（）。,组织协调反腐败工作
党的各级纪律检查委员会是党内监督（）机关。,专责
党的各级纪律检查委员会的职责是监督、（）、问责，要经常对党员进行遵守纪律的教育，作出关于维护党纪的决定。,执纪
党的各级纪律检查委员会对（）履行职责、行使权力进行监督，受理处置党员群众检举举报，开展谈话提醒、约谈函询。,党的组织和党员领导干部
党的各级纪律检查委员会要受理党员的（）。,控告和申诉
各级纪律检查委员会要把处理特别重要或复杂的案件中的问题和处理的结果，向（）报告。,同级党的委员会
纪委发现同级党委委员有违犯党的纪律的行为，可以先进行初步核实，如果需要立案检查的，应当在向同级党的委员会报告的同时向（）报告。,上一级纪律检查委员会
各级纪委发现同级党委委员有违犯党的纪律的行为，涉及常务委员的，报告上一级纪律检查委员会，由（）进行初步核实。,上一级纪律检查委员会
上级纪律检查委员会有权（）下级纪律检查委员会的工作。,检查
党的地方各级纪律检查委员会和基层纪律检查委员会如果对同级党的委员会处理案件的决定有不同意见，可以请求（）予以复查。,上一级纪律检查委员会
在中央和地方国家机关、人民团体、经济组织、文化组织和其他非党组织的领导机关中，可以成立（）。,党组
党组发挥（）作用。,领导核心
党组有讨论和决定基层党组织设置调整和发展党员、()等重要事项的任务。,处分党员
下列几项中，不由选举产生的是（）。,党组
党组的成员，由（）决定。,批准成立党组的党组织
下列说法中，正确的是（）。,党组设书记，必要时还可以设副书记
党组必须服从（）领导。,批准它成立的党组织
党章规定，中国共产主义青年团是中国共产党领导的先进青年的（）。,群团组织
中国共产主义青年团是广大青年在实践中学习（）的学校。,中国特色社会主义和共产主义
党章规定，中国共产主义青年团是党的（）。,助手和后备军
共青团的地方各级组织受（）领导，同时受（）领导。,同级党的委员会，共青团上级组织
党要坚决支持共青团根据广大青年的特点和需要，生动活泼地、富于创造性地进行工作，充分发挥团的（）作用和联系广大青年的桥梁作用。,突击队
共青团的县级和县级以下各级委员会书记，企业事业单位的团委员会书记，是党员的，可以（）同级党的委员会和常务委员会的会议。,列席
中国共产党党徽为（）组成的图案。党旗为旗面缀有金黄色党徽图案的红旗。,镰刀和锤头
中国共产党的（）是中国共产党的象征和标志。,党徽党旗
现行党章是1982年9月党的十二大修改制定的。根据形势和任务的发展变化，到目前为止，已经先后对其进行了（）次修改。,7
党的一大通过了（），宣告中国共产党的诞生。它规定了党的名称、性质和纲领，提出了党的最终奋斗目标。,《中国共产党第一个纲领》
党的一大纲领以（）为榜样，规定了党的组织原则和组织机构。,俄国社会民主工党章程
党的一大制定并通过的《中国共产党第一个纲领》开篇就明确规定：“本党定名为‘（）’。”,中国共产党
()规定：“本纲领须经全国代表大会三分之二代表同意，始得修改。”,一大党纲
()通过了第一部《中国共产党章程》，标志着我们党从此开始有了自己的最高行为规范。,党的二大
二大党章首次规定，党章的修改权属于（）。,党的全国代表大会
关于二大党章，下列说法中正确的是（）。,规定了全国代表大会为本党最高机关
()第一次对党章进行了修改。,党的三大
党的三大通过《中国共产党第一次修正章程》，严格了党员入党手续，首次规定了候补党员的（）及权利义务。,候补期制度
三大党章增加了关于“党员自请出党”（即自愿退党）的规定，增加该条款，是为了加强党员的（）。,自律意识
1925年1月，中国共产党第四次全国代表大会通过了（）。,《中国共产党第二次修正章程》
党的四大通过的《中国共产党第二次修正章程》规定，凡有党员（）以上均得成立一支部。,3人
根据党的四大通过的《中国共产党第二次修正章程》，党的历史上第一次将党的中央最高领导人称为（）。,总书记
1927年6月，中共中央政治局会议通过的（）是党的历史上唯一不是由党的代表大会制定和修改的党章。,《中国共产党第三次修正章程决案》
()首次用专门一章规定在中央和省设立党的监察委员会。,《中国共产党第三次修正章程决案》
在（）中，中国共产党最早规定了民主集中制原则为党部的指导原则。,《中国共产党第三次修正章程决案》
《中国共产党第三次修正章程决案》规定，中央委员会除选举总书记外，还要选举“中央正式委员若干人组织()，指导全国一切政治工作”。,中央政治局
()通过的《中国共产党党章》是唯一一部不在国内修改和通过的党章。,党的六大
()第一次明确规定民主集中制是中国共产党的组织原则。,六大党章
六大党章明确规定，中国共产党为（）的一部分。,共产国际
()在党章中加入了总纲部分，这在党章史上是一次重要创新。,七大党章
七大党章第一次确立了（）在全党的指导地位，并将之贯穿于党章总纲和各项条文之中。,毛泽东思想
()着重强调了党的群众路线。,七大党章
()首次以条文的形式明确规定了党员的权利和义务，它也是中国共产党成立后第一部比较完备的章程，为党的制度建设构建起了新的框架。,七大党章
1956年通过的（）是中国共产党全面执政之后制定的第一部党章。,八大党章
党的八大首次规定党的代表大会实行常任制，党的全国代表大会每届任期（）年。,5
党的九大、十大通过的党章肯定并坚持“无产阶级专政下继续革命”的理论，突出强调“（）”。,以阶级斗争为纲
()是一部体现了我们党“在徘徊中前进”的党章，既有积极作用又有严重缺陷。虽然其中仍存在一些问题，但已迈开了前进的步伐。,十一大党章
()首次将“任人唯贤”的干部路线写入党章。,十一大党章
十二大党章第一次从党的根本大法的高度，取消了干部职务（)。,终身制
()首次载入人党誓词。,十二大党章
()第一次把“实行在党的纪律面前人人平等的原则”载人党章的总纲之中。,党的十二大
把“党的干部”作为专门一章加以规定，始于（）。,十二大党章
十三大党章对于党章的（）部分做了修改。,条文
十三大党章进一步完善了党内选举制度，首次规定党的各级代表大会的代表和委员会的产生实施（）。,差额选举
（）增写了建设有中国特色社会主义理论和党的基本路线，确立了邓小平建设有中国特色社会主义理论在全党的指导地位。,十四大党章
首次将“坚持人民代表大会制度”载入党章总纲的是（）。,十四大党章
（）通过的党章，首次明确提出党的建设必须“坚持从严治党”。,党的十四大
在1997年通过的（）中，将邓小平理论确立为党的指导思想。,十五大党章
2002年通过的（）将“三个代表”重要思想同马克思列宁主义、毛泽东思想、邓小平理论一道确立为党的指导思想。,十六大党章
()首次规定，党的各级代表大会代表实行任期制。,十七大党章
十八大党章明确了中国特色社会主义事业“五位一体”的总体布局，即全面推进经济建设、政治建设、文化建设、社会建设、（）。,生态文明建设
()把科学发展观同马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想一道确立为党的指导思想。,十八大党章
习近平同志任中央委员会总书记后公开发表的第一篇署名文章是《认真学习党章严格遵守党章》。（）,对
党的一大通过了党的第一部正式党章。（）,错
党的历次代表大会都对党章作出了修改。（）,错
中国共产党仅是中国无产阶级的先锋队。（）,错
党的最高理想和最终目标是社会主义社会代替资本主义社会。（）,错
坚持马克思列宁主义的基本原理，走中国人民自愿选择的适合中国国情的道路，中国的社会主义事业必将取得最终的胜利。（）,对
现阶段，我国社会的主要矛盾是人民群众日益增长的物质文化需要与发展不充分的社会生产之间的矛盾。（）,错
我国目前已经没有阶级斗争存在。（）,错
十九大党章在总纲中增写了必须坚持以创新为中心的发展思想的内容。（）,错
中国共产党领导的多党合作和政治协商制度是我国的一项基本政治制度。（）,对
全心全意为人民服务是我们党执政兴国的第一要务。（）,错
要在互相尊重主权和领土完整、互不侵犯、互不干涉内政、平等互利、和平共处五项原则的基础上，发展我国同世界各国的关系。（）,对
我们要不断提高党的领导水平和执政水平，提高拒腐防变和抵御风险的能力，不断增强自我净化、自我完善、自我革新、自我提高能力。,对
十九大党章将党的建设总体要求中的“坚持党要管党、从严治党”修改为“全面坚持党要管党、从严治党”。（）,错
我们党的最大政治优势是理论联系实际，党执政后的最大危险是脱离群众。（）,错
民主集中制是集中基础上的民主和民主指导下的集中相结合。（）,错
民主集中制是党的根本组织原则，也是群众路线在党的生活中的运用。（）,对
党政军民学，东西南北中，党是领导一切的。（）,对
可以申请加入中国共产党的最小年龄为16岁。（）,错
在党组织讨论决定对党员的党纪处分或作出鉴定时，本人无权参加和进行申辩。（）,错
党员对党的决议和政策如有不同意见，在坚决执行的前提下，可以声明保留，并且可以把自己的意见向党的上级组织直至中央提出。（）,对
党的中央组织可以剥夺党章规定的党员的权利。（）,错
发展党员，必须把现实表现放在首位，经过党的支部，坚持个别吸收的原则。（）,错
申请入党的人，要填写入党志愿书，要有一名正式党员作介绍人，要经过支部大会通过，就可以成为正式党员。（）,错
党的支部委员会对申请入党的人，要注意征求党内外有关群众的意见，进行严格的审查，认为合格后再提交支部大会讨论。（）,对
预备党员不履行党员义务，不具备党员条件的，应当继续延长预备期直至合格。（）,错
党员的党龄，从支部大会通过他为预备党员之日算起。（）,错
预备党员的预备期也要计入党龄。（）,错
中央政治局常委不必编入党的一个支部参加党的组织生活。（）,错
不允许有任何不参加党的组织生活、不接受党内外群众监督的特殊党员。（）,对
党员要求退党，应当经上级党委讨论后宣布除名，并报上级党组织备案。（）,错
党员如果没有正当理由，连续一年不交纳党费，就被认为是自行脱党。（）,错
党的各级领导机关，除它们派出的代表机关和在非党组织中的党组外，都由上级党委任命产生。（）,错
党的最高领导机关，是党的全国代表大会和它所产生的中央政治局。（）,错
在党的地方各级代表大会和基层代表大会闭会期间，上级党的组织认为有必要时，可以调动或者指派下级党组织的负责人。（）,对
选举党的各级代表大会的代表和委员会，应采用实名投票的方式。（）,错
党的各级委员会都要实行巡视制度。（）,错
党的各级领导机关，对同下级组织有关的重要问题作出决定时，在通常情况下，不必征求下级组织的意见。（）,错
党组织讨论决定问题执行少数服从多数的原则。如对重要问题发生争论，双方人数接近，要严格按照票数多少立即作出决定。（）,错
党的全国代表大会每4年举行一次。（）,错
党的全国代表会议调整和增选中央委员会及候补中央委员的数额，不得超过党的全国代表大会选出的中央委员及候补中央委员各自总数的1/4。（）,错
中央委员会委员和候补委员必须有10年以上的党龄。（）,错
中央书记处成员由中央政治局提名，中央委员会全体会议通过。（）,错
党的中央军事委员会组成人员由中央政治局决定。（）,错
党章规定，中国人民解放军总政治部负责军队中党的工作和政治工作。（）,错
党的县（旗）、自治县、不设区的市和市辖区的委员会的委员和候补委员必须有5年以上的党龄。（）,错
基层委员会、总支部委员会和支部委员会都必须由党员大会选举产生。（）,错
党的基层委员会每届任期3年至5年，总支部委员会、支部委员会每届任期2年至3年。（）,错
国有企业党委（党组）发挥政治核心作用。（）,错
实行行政领导负责制的事业单位中党的基层组织，发挥政治核心作用。（）,错
各级党和国家机关中党的基层组织，领导本单位的业务工作。（）,错
党的干部要做到忠诚干净担当。（）,对
党员干部要正确行使人民赋予的权力，自觉接受党和群众的批评和监督，做到自重、自省、自警、自励。（）,对
党的各级领导干部，无论是由民主选举产生的，或是由领导机关任命的，他们的职务都不是终身的，都可以变动或解除。（）,对
党员经过留党察看，确已改正错误的，应当恢复其党员的权利；坚持错误不改的，应当延长留党察看时间。（）,错
开除党籍是党内的最高处分。（）,对
给党员以开除党籍的处分，应分别不同情况，报县级或县级以上党的委员会审查批准。（）,错
党的地方各级纪律检查委员会全体会议，选举常务委员会和书记、副书记，并报同级党的委员会批准。（）,错
党的基层委员会是设立纪律检查委员会，还是设立纪律检查委员，由它自己根据具体情况决定。（）,错
各级纪律检查委员会对同级党委委员需要进行立案检查的，视情况可以报告上一级纪律检查委员会。（）,错
团的县级和县级以下各级委员会书记，企业事业单位的团委员会书记，是党员的，可以列席上级党的委员会和常务委员会的会议。（）,错
党旗党徽及其图案可以用作商标和广告。（）,错
在中国移动党风廉政建设和反腐败工作体系四大模块中，（    ）是基础，筑牢不想腐的思想基础。,教育
在中国移动党风廉政建设和反腐败工作体系四大模块中，（    ）是利器，促进责任明确和责任担当。,问责
在中国移动党风廉政建设和反腐败工作体系四大模块中，（    ）是手段，营造不敢腐的形势压力。,惩治
在中国移动党风廉政建设和反腐败工作体系中，问责模块的核心工作是（    ），同时要做好与教育、防控、惩治的衔接。,责任追究
党风廉政建设和反腐败工作体系四大模块中，（    ）是构建工作体系的关键切入口，有助于推动“不能腐”的体制机制有效运行。,防控
跨入新世纪，我国进入（）的新的发展阶段。,全面建设小康社会、加快推进社会主义现代化